path,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair,Wearing_Hat,Young,Bald,Receding_Hairline,Male,Hair_Stage
9.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
10.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4
30.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
32.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
37.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2
39.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
40.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
43.jpg,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1
49.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
52.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
62.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
64.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,4
80.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
89.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
92.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
96.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2
97.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
113.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
115.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,2
132.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,3
133.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
134.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,2
138.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,4
142.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
149.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
151.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
157.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
164.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
168.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
178.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
180.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
194.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
196.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
200.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1
211.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
229.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2
240.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
243.jpg,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1
244.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
246.jpg,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
247.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
249.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
256.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
264.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
272.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
281.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
282.jpg,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
283.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
286.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
288.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,2
292.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
293.jpg,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1
297.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
300.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
304.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
308.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,4
317.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
320.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,3
321.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3
324.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2
328.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
331.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,2
334.jpg,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
336.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
340.jpg,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
343.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,2
347.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,4
348.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
355.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
356.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
373.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
375.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,3
386.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
387.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
399.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
402.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
408.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,2
409.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
410.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
413.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
416.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
417.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,2
418.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
419.jpg,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
420.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
422.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
430.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
434.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
441.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1
445.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
448.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
450.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
456.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
459.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
466.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,3
468.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,3
469.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
475.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2
476.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3
477.jpg,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1
478.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
484.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3
485.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
486.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
490.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
493.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
502.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
505.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
509.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
514.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,4
532.jpg,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1
533.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
537.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
544.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
545.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
546.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,3
547.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
554.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
564.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,2
581.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
582.jpg,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1
587.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3
588.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
604.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
606.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3
609.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,2
612.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,2
615.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
621.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
624.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
634.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
639.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
641.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3
643.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,4
657.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
663.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
667.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
669.jpg,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
671.jpg,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
676.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
677.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
681.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
691.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
694.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,2
695.jpg,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2
696.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,2
699.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
714.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,3
717.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
724.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
729.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
740.jpg,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2
741.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1
742.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
746.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
749.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
750.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
753.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
756.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1
761.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,4
762.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
763.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
764.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,3
767.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
772.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
782.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
792.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
796.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
797.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,4
798.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,4
801.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
802.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
813.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1
816.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1
823.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
838.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,2
848.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
854.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
855.jpg,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1
865.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,4
869.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
870.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
872.jpg,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
876.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
880.jpg,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,2
882.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,3
883.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
885.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,2
886.jpg,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1
888.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
890.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
892.jpg,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,2
897.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
904.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
914.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
927.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
930.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1
934.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
944.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
946.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
948.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
954.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
958.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
959.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,3
962.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
963.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
968.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
969.jpg,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1
970.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
971.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
976.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1
978.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
981.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
996.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1002.jpg,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
1004.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,3
1007.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2
1009.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1012.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
1015.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
1030.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
1038.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1039.jpg,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1051.jpg,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
1052.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
1053.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,2
1062.jpg,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1
1063.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1068.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1080.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2
1081.jpg,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
1082.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
1083.jpg,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
1085.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1097.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2
1104.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2
1106.jpg,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
1108.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2
1109.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1115.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,2
1118.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1
1123.jpg,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
1124.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,4
1128.jpg,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,2
1129.jpg,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
1132.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,2
1144.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,4
1147.jpg,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
1149.jpg,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2
1151.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1153.jpg,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,2
1155.jpg,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,2
1165.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2
